TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.saumitra.sessionmgmt.controller.SessionEndPoint,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5905303030303031,43,16
com.saumitra.sessionmgmt.controller.SessionEndPoint,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5905303030303031,43,16
com.saumitra.sessionmgmt.service.SessionService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,25,25
